val	gpu_bw	gpu_max_lat	gpu_min_lat	gpu_proc_time	cpu_bw	cpu_max_lat	cpu_min_lat	cpu_proc_time
25	5.638228	11.621925	8.928794	0.423600	7.984131	8.205617	5.698083	115.891039
50	5.497955	11.917155	9.203454	0.567594	7.952379	8.238416	5.723156	187.218143
100	5.389684	12.157994	9.459814	0.852052	7.864234	8.330789	5.842720	331.200699
200	5.124353	12.787900	10.034302	1.427901	7.558609	8.667687	6.172748	620.715006
400	4.729046	13.857660	11.137002	2.595713	6.923734	9.462648	6.878666	1222.356859
800	4.029914	16.263537	13.546514	4.915777	6.232754	10.512092	7.966108	2366.239986
