val	gpu_bw	gpu_max_lat	gpu_min_lat	gpu_proc_time	cpu_bw	cpu_max_lat	cpu_min_lat	cpu_proc_time
25	4.983796	13.148517	10.061342	0.857611	7.464955	8.776308	6.059177	344.788772
50	5.015184	13.064559	10.035436	0.850652	7.582098	8.640723	6.001495	342.321518
100	5.023859	13.042586	9.996804	0.852696	7.422871	8.826039	6.113276	349.565564
200	5.199424	12.603019	9.691346	0.849124	7.584629	8.637836	5.998054	340.715481
400	5.267834	12.437912	9.597726	0.847861	7.461998	8.779811	6.103772	345.221214
800	5.308263	12.344493	9.555495	0.848621	7.628315	8.588387	5.974883	339.402385
